ESPmin,ESPmax,polarizability,Cluster
-142.61046932432433,-40.31268418918919,76.24406606756757,0
-107.38743324324324,-30.609006486486486,161.14360360810812,1
-140.49424115384616,-22.857291730769234,180.0573557596154,2
-121.11523409090908,-67.31459454545455,68.60258031818182,3
-97.6590214893617,-2.554499361702124,219.36851774468084,4
