K,Silhouette_Score
5,0.3282991082483311
6,0.3238833761893177
7,0.2995051858543167
8,0.3025088573560127
9,0.29311703547845985
10,0.2891119258067282
11,0.2935869921085252
12,0.2907485514927927
13,0.2939563248723319
14,0.3087906617052002
15,0.30980587559182887
