PCA1,PCA2,Cluster,idx,smiles
-0.21518165639420295,-0.19200042731955014,2,88,CC1(C)O[P-](F)(F)(C)(C)OC1(C)C
0.008236033517744844,-1.1712559360473085,2,89,COCCOCCOOP(=O)([O-])F
-0.9937461367379753,0.01697070802360202,0,90,O=[P-](O(C(F)F))(O(C(F)F))(F)F
-1.3948391418807435,0.12248591583876346,0,91,O=[P-](C(F)F)(C(F)F)(C(F)F)F
-0.5700941551235184,-0.8548647499228615,2,92,CC1(C)O[P-](F)(F)(F)(C)OC1(C)C
-2.2425051258343953,1.0004150596207608,3,93,O=[P-](C(F)(F)F)(C(F)(F)F)(F)F
0.5061728472653197,0.0022342344794915735,1,94,N#CC1(C#N)O[P-](=O)(=O)OC1(C#N)C#N
-0.44984153355976153,-0.5154488661505898,0,95,CC1(C)O[P-](F)(F)(F)(F)OC1(C)C
-1.2042866953985463,0.16391816252874894,0,96,O=P([O-])(OCC(F)F)OCC(F)F
-0.25038919173106894,0.7853393267873745,1,97,FC[P-](CF)(CF)(CF)(CF)CF
0.09360545052125359,-0.18750357952313826,2,98,CC1(C)O[P-](F)(F)(F)(C#N)OC1(C)C
-1.1126870072525474,-0.02598855106948334,0,99,O=P([O-])(OCC(F)(F)F)C(F)(F)F
-1.6649957566424136,0.7495659982825096,3,100,O=[P-](=O)(O(C(F)(F)F))O(C(F)(F)F)
-0.9789334715764466,0.09857478363965343,0,101,C(F)O[P-](F)(F)(F)(O(CF))O(CF)
-0.49241864596457346,-0.7921858109596264,2,102,CC1(C)O[P-](F)(F)(F)(O(C))OC1(C)C
-0.41745925050523963,-0.991694336407977,2,103,CC1(C)O[P-](F)(F)(F)(CF)OC1(C)C
0.6747350154071255,0.23812636798400355,1,104,CC1(C)O[P-](F)(F)(C#N)(C#N)OC1(C)C
0.4385303065781573,-1.3767700560073675,2,105,CCCCCCCCCCOP(=O)([O-])F
-1.2508121218068888,0.48904432723386254,0,106,FC(F)[P-](F)(F)(F)(C(F)F)C(F)F
-0.7949028413720681,-0.04157248504999438,0,107,O=[P-](O(CF))(O(CF))(O(CF))O(CF)
1.065507738821235,0.32871466221036477,1,108,CC1(C)O[P-](F)(C#N)(C#N)(C#N)OC1(C)C
-1.9878637646512438,1.618745700678623,3,109,FC(F)(F)[P-](F)(F)(F)(F)C(F)(F)F
0.35227600412741344,-0.16970802572343133,1,110,N#CC1(C#N)O[P-](F)(F)(=O)OC1(C#N)C#N
0.3617858593908028,-1.3779976523130015,2,111,COCCOCCOCCOP(=O)([O-])F
0.49168278460053166,-1.2705422265728192,2,112,CCC(C)(C)c1ccc(OP(=O)([O-])F)cc1
-0.4135675190436911,-0.9659974245431874,2,113,CC1(C)O[P-](F)(F)(O(C))(O(C))OC1(C)C
-0.0834950170282648,-0.7230652938788871,2,114,CC1(C)O[P-](F)(F)(F)(N(=O)=O)OC1(C)C
-1.3522351935959205,-0.5080533529317179,0,115,O=[P-](C(F)F)(C(F)F)(C(F)F)C(F)F
0.072461509633919,-1.4036848705557008,2,116,FCC1(CF)O[P-](=O)(=O)OC1(CF)CF
0.0007496893256559524,-0.11460929606828148,2,117,CC1(C)O[P-](F)(F)(CF)(CF)OC1(C)C
1.442717727582559,0.3396902906451659,4,118,CC1(C)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C)C
-0.3779331839345762,-0.6936159737834753,2,119,CC1(C)O[P-](F)(F)(F)(O(CF))OC1(C)C
-1.8279415271629067,0.4910991795701735,3,120,O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(F)F
-0.24034538116746382,-0.6583424832287726,2,121,CC1(C)O[P-](F)(F)(F)(C(F)F)OC1(C)C
0.6705997786451772,0.33503388620140984,1,122,N#CC1(C#N)O[P-](F)(C)(C)(C)OC1(C#N)C#N
0.4108878103697109,0.9671164079341038,1,123,N#CC1(C#N)O[P-](F)(F)(C)(C)OC1(C#N)C#N
-0.40373468845941596,-1.2889210634354802,2,124,CC1(C)O[P-](F)(O(C))(O(C))(O(C))OC1(C)C
-0.8043317000354002,-0.9844808983657384,0,125,O=P([O-])(OCC(F)(F)F)OCC(F)(F)F
-1.1069400010876198,-0.0067691618735025195,0,126,COP(=O)([O-])OC(C(F)(F)F)C(F)(F)F
0.363812525984433,0.8310051714333209,1,127,N#CC1(C#N)O[P-](F)(F)(F)(C)OC1(C#N)C#N
-0.713752128090142,0.19138500215647136,0,128,C(F)O[P-](F)(F)(O(CF))(O(CF))O(CF)
-0.13321591858103676,-1.3500849835538273,2,129,CC1(C)O[P-](F)(CF)(CF)(CF)OC1(C)C
-1.156061636254177,0.12506891985747512,0,130,O=P([O-])(F)OC(F)(C(F)(F)F)C(F)(F)F
-0.6897250089630558,-0.623328950270512,0,131,O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))F
0.6362526202966097,1.0255749886692407,1,132,N#CC1(C#N)O[P-](F)(F)(F)(F)OC1(C#N)C#N
-0.24034644263343136,-0.6583406135468496,2,133,CC1(C)O[P-](F)(F)(F)(O(C(F)F))OC1(C)C
-1.6084606956234746,0.1774138083561797,0,134,O=[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)F
-0.9673784376549672,0.8785513777826971,3,135,FC(F)[P-](F)(F)(C(F)F)(C(F)F)C(F)F
