smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2
O=[P-](=O)(O(C(F)(F)F))F,-129.98128,-61.5095,6.473833,45.2138,50,3,-2.0109394166990398,0.6824945038588143
F[P-](F)(F)(F)(O(C))O(C),-141.58986,-46.54958,5.900927,63.5253,51,0,-1.6198565114586216,-0.16803799609027098
O=[P-](O(C(F)F))(F)(F)F,-135.39086,-50.35206,3.477747,45.543,52,0,-1.7901069239533112,0.22364998869709776
CCOCCOP(=O)([O-])F,-146.70495,-17.10834,16.169406,98.123,53,0,-0.5011320826700146,-1.0748326761003504
O=[P-](C(F)(F)F)(F)(F)F,-136.0228,-71.42318,3.939241,42.747,54,3,-2.452246479278972,0.6290616700335752
FC[P-](F)(F)(F)(F)CF,-132.31346,-61.63204,2.9464,57.177,55,3,-1.938977861349462,0.5525548994351049
N#C[P-](F)(F)(C#N)(C#N)C#N,-94.44496,-65.68699,2.274705,93.1212,56,3,-0.9102262243015881,2.1681733119140647
O=P([O-])(F)Oc1ccccc1,-143.2104,-22.31504,12.791002,117.853333,57,2,-0.37910920027448214,-0.8721789300543
O=[P-](N(=O)=O)(N(=O)=O)(F)F,-131.7545,-65.57078,2.538849,71.031,58,3,-1.9005125497424697,0.6189963081919292
O=[P-](CF)(CF)(CF)CF,-158.45172,-50.56187,4.687675,100.675,59,0,-1.7007526439691134,-0.9123422538608551
F[P-](C#N)(C#N)(C#N)(C#N)C#N,-91.20751,-58.80959,1.52302,112.7,60,3,-0.43929604748711704,2.116358604763863
O=P([O-])(F)OCC(F)(F)F,-141.49673,-28.13728,10.266769,59.522667,61,0,-1.1171986798829705,-0.5247988945442417
F[P-](F)(F)(O(C))(O(C))O(C),-146.91999,-46.40184,7.029258,84.5097,62,0,-1.5083897449950194,-0.4566248193326444
O=P([O-])(F)OP(=O)(F)F,-127.985,-45.51593,6.169548,54.553,63,0,-1.40276323623748,0.42073834543582134
O=[P-](O(CF))(O(CF))(F)F,-151.34688,-35.20686,6.88829,64.492,64,0,-1.4762230521631605,-0.8194601439459888
CCCCCCOP(=O)([O-])F,-147.41374,-21.82037,17.074811,125.330333,65,2,-0.3736719195068547,-1.0831049706271303
O=[P-](C(F)F)(C(F)F)(F)F,-148.22373,-30.50324,7.947605,58.329,66,0,-1.3372391460522723,-0.7634278025877456
FC[P-](F)(F)(F)(CF)CF,-139.63689,-45.5235,5.011867,75.006333,67,0,-1.431102567996639,-0.13540962894612324
O=[P-](O(C(F)(F)F))(F)(F)F,-133.31689,-76.62399,3.864469,98.3997,68,3,-1.9755876434359174,0.7014882582296528
O=P([O-])(ON=NF)ON=NF,-125.84056,-61.89743,3.9919,80.599333,69,3,-1.5722611057194547,0.7738313721134552
O=P([O-])(F)OCc1ccccc1,-145.67092,-16.71512,15.815585,134.104333,70,2,-0.09707462859282598,-1.134576689596699
COP(=O)([O-])OCC(F)(F)F,-150.42675,-33.80318,9.020603,80.006667,71,0,-1.2559325775036554,-0.8497059279638582
F[P-](F)(O(C))(O(C))(O(C))O(C),-158.41884,-49.85292,5.317806,106.539,72,0,-1.6187016195139967,-0.9409281856018605
N#CP(=O)([O-])OCc1ccccc1,-137.07262,-15.59331,16.165843,154.005333,73,2,0.31777090442235445,-0.8403752814114038
O=[P-](=O)(O(C(F)F))O(C(F)F),-130.88375,-40.27183,7.022805,64.554333,74,0,-1.2046829360736229,0.16338616994296584
O=P([O-])(F)OOP(=O)(F)F,-126.9056,-32.09157,6.969192,62.532667,75,0,-0.9030696161765366,0.17499110670070844
N#CCCOP(=O)([O-])n1ccnc1,-135.70466,-20.14945,6.669333,139.591333,76,2,0.06299398395844936,-0.6509828099431636
O=[P-](=O)(C(F)(F)F)C(F)(F)F,-130.44181,-66.01119,5.595646,58.8556,77,3,-2.0121615289407466,0.7169786466600594
FC[P-](F)(F)(CF)(CF)CF,-140.7496,-53.15126,3.797316,75.02,78,0,-1.6783560960876265,-0.029445345788943676
CC1(C)O[P-](F)(F)(=O)OC1(C)C,-159.28165,-26.64632,13.252097,127.949,79,2,-0.7323142360335186,-1.5035941057681226
N#CCCOP(=O)([O-])OCCC#N,-143.58527,-5.65999,10.96423,128.758667,80,2,0.2160320684152655,-1.2535381720029775
O=[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)F,-118.74491,-62.67156,1.821413,94.746667,81,3,-1.3034394216809058,1.057006574186334
C(F)O[P-](F)(F)(F)(F)O(CF),-123.65072,-42.20548,3.711903,61.687,82,0,-1.1427355007398081,0.5214162852031243
F[P-](O(C))(O(C))(O(C))(O(C))O(C),-158.11331,-52.82667,4.05523,129.313,83,0,-1.4649921430070565,-0.9287432900854312
CCOP(=O)([O-])OCC(F)(F)F,-144.79268,-33.9941,5.080242,95.577333,84,0,-0.9852545140536928,-0.6450204863948341
FC(F)[P-](F)(F)(F)(F)C(F)F,-125.13455,-50.62981,3.821683,55.191667,85,3,-1.4882170659185472,0.6449015989368656
O=[P-](O(CF))(O(CF))(O(CF))F,-144.22717,-39.19049,1.913653,85.962,86,0,-1.2258373021917133,-0.49009708961355697
FC[P-](F)(CF)(CF)(CF)CF,-123.48542,-46.28066,3.256767,114.658,87,0,-0.7127549212095478,0.46895202166495553
CC1(C)O[P-](F)(F)(C)(C)OC1(C)C,-133.15418,-41.16115,5.516522,167.508,88,2,-0.21518165639420295,-0.19200042731955014
COCCOCCOOP(=O)([O-])F,-144.32301,-10.76885,22.049492,124.663667,89,2,0.008236033517744844,-1.1712559360473085
O=[P-](O(C(F)F))(O(C(F)F))(F)F,-130.83996,-32.79001,5.022169,63.563667,90,0,-0.9937461367379753,0.01697070802360202
O=[P-](C(F)F)(C(F)F)(C(F)F)F,-134.78837,-48.13822,1.149358,76.336333,91,0,-1.3948391418807435,0.12248591583876346
CC1(C)O[P-](F)(F)(F)(C)OC1(C)C,-147.25449,-35.34533,8.495447,144.566,92,2,-0.5700941551235184,-0.8548647499228615
O=[P-](C(F)(F)F)(C(F)(F)F)(F)F,-128.03923,-74.58221,3.09719,56.2067,93,3,-2.2425051258343953,1.0004150596207608
N#CC1(C#N)O[P-](=O)(=O)OC1(C#N)C#N,-118.18092,-13.81537,5.956836,129.612,94,1,0.5061728472653197,0.0022342344794915735
CC1(C)O[P-](F)(F)(F)(F)OC1(C)C,-138.30859,-30.39293,10.844493,124.295,95,0,-0.44984153355976153,-0.5154488661505898
O=P([O-])(OCC(F)F)OCC(F)F,-130.86968,-40.26818,7.022481,64.554333,96,0,-1.2042866953985463,0.16391816252874894
FC[P-](CF)(CF)(CF)(CF)CF,-114.06357,-44.73454,3.872703,136.315667,97,1,-0.25038919173106894,0.7853393267873745
CC1(C)O[P-](F)(F)(F)(C#N)OC1(C)C,-127.40016,-25.71147,12.971972,141.908,98,2,0.09360545052125359,-0.18750357952313826
O=P([O-])(OCC(F)(F)F)C(F)(F)F,-133.92699,-38.81169,7.487518,75.358,99,0,-1.1126870072525474,-0.02598855106948334
