smiles,is_valid,anion_MW,charge,atom_number
CC1(C)O[P-](F)(F)(F)(C#N)OC1(C)C,True,230.15,-1,26
O=P([O-])(OCC(F)(F)F)C(F)(F)F,True,231.01,-1,15
O=[P-](=O)(O(C(F)(F)F))O(C(F)(F)F),True,232.98,-1,13
C(F)O[P-](F)(F)(F)(O(CF))O(CF),True,235.04,-1,19
CC1(C)O[P-](F)(F)(F)(O(C))OC1(C)C,True,235.16,-1,29
CC1(C)O[P-](F)(F)(F)(CF)OC1(C)C,True,237.15,-1,28
CC1(C)O[P-](F)(F)(C#N)(C#N)OC1(C)C,True,237.17,-1,27
CCCCCCCCCCOP(=O)([O-])F,True,239.25,-1,36
FC(F)[P-](F)(F)(F)(C(F)F)C(F)F,True,241.01,-1,16
O=[P-](O(CF))(O(CF))(O(CF))O(CF),True,243.07,-1,22
CC1(C)O[P-](F)(C#N)(C#N)(C#N)OC1(C)C,True,244.19,-1,28
FC(F)(F)[P-](F)(F)(F)(F)C(F)(F)F,True,244.98,-1,13
N#CC1(C#N)O[P-](F)(F)(=O)OC1(C#N)C#N,True,245.06,-1,16
COCCOCCOCCOP(=O)([O-])F,True,245.16,-1,30
CCC(C)(C)c1ccc(OP(=O)([O-])F)cc1,True,245.21,-1,31
CC1(C)O[P-](F)(F)(O(C))(O(C))OC1(C)C,True,247.2,-1,33
CC1(C)O[P-](F)(F)(F)(N(=O)=O)OC1(C)C,True,250.13,-1,27
O=[P-](C(F)F)(C(F)F)(C(F)F)C(F)F,True,251.03,-1,18
FCC1(CF)O[P-](=O)(=O)OC1(CF)CF,True,251.09,-1,23
CC1(C)O[P-](F)(F)(CF)(CF)OC1(C)C,True,251.18,-1,31
CC1(C)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C)C,True,251.21,-1,29
CC1(C)O[P-](F)(F)(F)(O(CF))OC1(C)C,True,253.15,-1,29
O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(F)F,True,254.98,-1,14
CC1(C)O[P-](F)(F)(F)(C(F)F)OC1(C)C,True,255.14,-1,28
N#CC1(C#N)O[P-](F)(C)(C)(C)OC1(C#N)C#N,True,255.17,-1,26
N#CC1(C#N)O[P-](F)(F)(C)(C)OC1(C#N)C#N,True,259.13,-1,23
CC1(C)O[P-](F)(O(C))(O(C))(O(C))OC1(C)C,True,259.23,-1,37
O=P([O-])(OCC(F)(F)F)OCC(F)(F)F,True,261.03,-1,19
COP(=O)([O-])OC(C(F)(F)F)C(F)(F)F,True,261.03,-1,19
N#CC1(C#N)O[P-](F)(F)(F)(C)OC1(C#N)C#N,True,263.09,-1,20
C(F)O[P-](F)(F)(O(CF))(O(CF))O(CF),True,265.07,-1,23
CC1(C)O[P-](F)(CF)(CF)(CF)OC1(C)C,True,265.21,-1,34
O=P([O-])(F)OC(F)(C(F)(F)F)C(F)(F)F,True,266.99,-1,15
O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))F,True,267.01,-1,18
N#CC1(C#N)O[P-](F)(F)(F)(F)OC1(C#N)C#N,True,267.06,-1,17
CC1(C)O[P-](F)(F)(F)(O(C(F)F))OC1(C)C,True,271.14,-1,29
O=[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)F,True,272.99,-1,15
FC(F)[P-](F)(F)(C(F)F)(C(F)F)C(F)F,True,273.03,-1,19
FCC1(CF)O[P-](F)(F)(=O)OC1(CF)CF,True,273.09,-1,24
CC1(C)O[P-](F)(F)(F)(C(F)(F)F)OC1(C)C,True,273.13,-1,28
N#CC1(C#N)O[P-](F)(F)(F)(C#N)OC1(C#N)C#N,True,274.08,-1,18
CCOP(=O)([O-])OC(C(F)(F)F)C(F)(F)F,True,275.06,-1,22
CC1(C)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C)C,True,277.14,-1,29
N#CC1(C#N)O[P-](F)(F)(F)(O(C))OC1(C#N)C#N,True,279.09,-1,21
FCC1(CF)O[P-](C)(C)(C)(C)OC1(CF)CF,True,279.23,-1,37
CC1(C)O[P-](CF)(CF)(CF)(CF)OC1(C)C,True,279.23,-1,37
N#CC1(C#N)O[P-](F)(F)(F)(CF)OC1(C#N)C#N,True,281.08,-1,20
N#CC1(C#N)O[P-](F)(F)(C#N)(C#N)OC1(C#N)C#N,True,281.1,-1,19
CC1(C)O[P-](F)(F)(O(CF))(O(CF))OC1(C)C,True,283.18,-1,33
FCC1(CF)O[P-](F)(C)(C)(C)OC1(CF)CF,True,283.2,-1,34
CC1(C)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C)C,True,287.16,-1,31
FCC1(CF)O[P-](F)(F)(C)(C)OC1(CF)CF,True,287.16,-1,31
N#CC1(C#N)O[P-](F)(C#N)(C#N)(C#N)OC1(C#N)C#N,True,288.12,-1,20
CC1(C)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C)C,True,289.13,-1,29
FCC1(CF)O[P-](F)(F)(F)(C)OC1(CF)CF,True,291.12,-1,28
N#CC1(C#N)O[P-](F)(F)(O(C))(O(C))OC1(C#N)C#N,True,291.13,-1,25
N#CC1(C#N)O[P-](F)(F)(F)(N(=O)=O)OC1(C#N)C#N,True,294.06,-1,19
FC(F)(F)[P-](F)(F)(F)(C(F)(F)F)C(F)(F)F,True,294.98,-1,16
FCC1(CF)O[P-](F)(F)(F)(F)OC1(CF)CF,True,295.09,-1,25
C(F)O[P-](F)(O(CF))(O(CF))(O(CF))O(CF),True,295.09,-1,27
N#CC1(C#N)O[P-](F)(F)(CF)(CF)OC1(C#N)C#N,True,295.11,-1,23
N#CC1(C#N)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C#N)C#N,True,295.14,-1,21
N#CC1(C#N)O[P-](F)(F)(F)(O(CF))OC1(C#N)C#N,True,297.08,-1,21
N#CC1(C#N)O[P-](F)(F)(F)(C(F)F)OC1(C#N)C#N,True,299.07,-1,20
O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,True,301.0,-1,17
CC1(C)O[P-]2(F)(F)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,301.29,-1,43
FCC1(CF)O[P-](F)(F)(F)(C#N)OC1(CF)CF,True,302.11,-1,26
N#CC1(C#N)O[P-](F)(O(C))(O(C))(O(C))OC1(C#N)C#N,True,303.17,-1,29
CC1(C)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C)C,True,304.15,-1,31
FC(F)[P-](F)(C(F)F)(C(F)F)(C(F)F)C(F)F,True,305.05,-1,22
FCC1(CF)O[P-](F)(F)(F)(O(C))OC1(CF)CF,True,307.12,-1,29
CC1(C)O[P-]2(F)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,308.31,-1,44
FCC1(CF)O[P-](F)(F)(F)(CF)OC1(CF)CF,True,309.11,-1,28
FCC1(CF)O[P-](F)(F)(C#N)(C#N)OC1(CF)CF,True,309.13,-1,27
