smiles,is_valid,anion_MW,charge,atom_number
N#CC1(C#N)O[P-]2(F)(O(C(F)(F)F))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,455.16,-1,31
N#CC1(C#N)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C#N)C#N,True,459.12,-1,33
FCC1(CF)O[P-]2(F)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,459.24,-1,46
FCC1(CF)O[P-]2(C#N)(C#N)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,459.25,-1,45
FC(F)(F)C1(C(F)(F)F)O[P-](F)(C#N)(C#N)(C#N)OC1(C(F)(F)F)C(F)(F)F,True,460.07,-1,28
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,True,463.08,-1,33
FC(F)C1(C(F)F)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C(F)F)C(F)F,True,463.08,-1,33
FC(F)C1(C(F)F)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,True,463.1,-1,34
N#CC1(C#N)O[P-](F)(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C#N)C#N,True,465.08,-1,29
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(N(=O)=O)OC1(C(F)(F)F)C(F)(F)F,True,466.01,-1,27
N#CC1(C#N)O[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C#N)C#N,True,467.09,-1,29
FC(F)(F)C1(C(F)(F)F)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C(F)(F)F)C(F)(F)F,True,467.09,-1,29
FCC1(CF)O[P-]2(F)(N(=O)=O)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,472.22,-1,45
FCC1(CF)O[P-]2(CF)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,473.26,-1,49
FC(F)C1(C(F)F)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C(F)F)C(F)F,True,475.07,-1,33
FC(F)(F)C1(C(F)(F)F)O[P-](F)(O(C))(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,True,475.11,-1,37
FCC1(CF)O[P-]2(F)(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,475.24,-1,47
N#CC1(C#N)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,485.19,-1,35
FC(F)(F)C1(C(F)(F)F)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,True,487.15,-1,41
CC1(C)O[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C)C,True,487.15,-1,41
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,True,489.01,-1,28
N#CC1(C#N)O[P-]2(C(F)(F)F)(C(F)(F)F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,489.17,-1,33
FC(F)C1(C(F)F)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,True,495.11,-1,37
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C(F)(F)F)C(F)(F)F,True,505.01,-1,29
FCC1(CF)O[P-]2(O(CF))(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,505.26,-1,51
FC(F)(F)C1(C(F)(F)F)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C(F)(F)F)C(F)(F)F,True,520.03,-1,31
N#CC1(C#N)O[P-]2(O(C(F)(F)F))(O(C(F)(F)F))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,521.17,-1,35
N#CC1(C#N)O[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C#N)C#N,True,531.08,-1,33
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,True,539.02,-1,31
FC(F)(F)C1(C(F)(F)F)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C(F)(F)F)C(F)(F)F,True,547.03,-1,33
FC(F)C1(C(F)F)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C(F)F)C(F)F,True,559.11,-1,41
FC(F)C1(C(F)F)O[P-]2(=O)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,567.13,-1,42
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(O(C(F)(F)F))(O(C(F)(F)F))OC1(C(F)(F)F)C(F)(F)F,True,571.02,-1,33
FC(F)(F)C1(C(F)(F)F)O[P-](F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,True,589.03,-1,34
FC(F)C1(C(F)F)O[P-]2(F)(F)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,589.13,-1,43
FC(F)C1(C(F)F)O[P-]2(F)(C#N)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,596.15,-1,44
FC(F)C1(C(F)F)O[P-]2(C#N)(C#N)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,603.17,-1,45
FC(F)C1(C(F)F)O[P-]2(F)(N(=O)=O)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,616.14,-1,45
FC(F)C1(C(F)F)O[P-]2(F)(C(F)F)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,621.15,-1,46
FC(F)(F)C1(C(F)(F)F)O[P-](F)(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C(F)(F)F)C(F)(F)F,True,637.02,-1,37
FC(F)C1(C(F)F)O[P-]2(F)(O(C(F)F))(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,637.15,-1,47
FC(F)(F)C1(C(F)(F)F)O[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,True,639.03,-1,37
FC(F)C1(C(F)F)O[P-]2(C(F)F)(C(F)F)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,653.16,-1,49
FC(F)C1(C(F)F)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,685.16,-1,51
FC(F)(F)C1(C(F)(F)F)O[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C(F)(F)F)C(F)(F)F,True,703.03,-1,41
FC(F)(F)C1(C(F)(F)F)O[P-]2(=O)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,711.05,-1,42
FC(F)(F)C1(C(F)(F)F)O[P-]2(F)(F)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,733.05,-1,43
FC(F)(F)C1(C(F)(F)F)O[P-]2(F)(C#N)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,740.07,-1,44
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,745.05,-1,43
FC(F)(F)C1(C(F)(F)F)O[P-]2(C#N)(C#N)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,747.09,-1,45
FC(F)(F)C1(C(F)(F)F)O[P-]2(F)(N(=O)=O)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,760.06,-1,45
FC(F)(F)C1(C(F)(F)F)O[P-]2(F)(C(F)(F)F)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,783.06,-1,46
FC(F)(F)C1(C(F)(F)F)O[P-]2(C(F)(F)F)(C(F)(F)F)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,833.06,-1,49
FC(F)(F)C1(C(F)(F)F)O[P-]2(O(C(F)(F)F))(O(C(F)(F)F))(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,865.06,-1,51
