smiles,idx
CC1(C)O[P-]2(O(CF))(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2,76
N#CC1(C#N)O[P-](CF)(CF)(CF)(CF)OC1(C#N)C#N,77
N#CC1(C#N)O[P-](F)(CF)(CF)(CF)OC1(C#N)C#N,78
N#CC1(C#N)O[P-](F)(F)(CF)(CF)OC1(C#N)C#N,79
N#CC1(C#N)O[P-](F)(F)(F)(CF)OC1(C#N)C#N,80
N#CC1(C#N)O[P-](F)(C)(C)(C)OC1(C#N)C#N,81
N#CC1(C#N)O[P-](F)(F)(C)(C)OC1(C#N)C#N,82
N#CC1(C#N)O[P-](F)(F)(F)(C)OC1(C#N)C#N,83
N#CC1(C#N)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C#N)C#N,84
N#CC1(C#N)O[P-](F)(C#N)(C#N)(C#N)OC1(C#N)C#N,85
N#CC1(C#N)O[P-](F)(F)(C#N)(C#N)OC1(C#N)C#N,86
N#CC1(C#N)O[P-](F)(F)(F)(C#N)OC1(C#N)C#N,87
N#CC1(C#N)O[P-](N)(N)(N)(N)OC1(C#N)C#N,88
N#CC1(C#N)O[P-](F)(N)(N)(N)OC1(C#N)C#N,89
N#CC1(C#N)O[P-](F)(F)(N)(N)OC1(C#N)C#N,90
N#CC1(C#N)O[P-](F)(F)(F)(N)OC1(C#N)C#N,91
N#CC1(C#N)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,92
N#CC1(C#N)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,93
N#CC1(C#N)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,94
N#CC1(C#N)O[P-](F)(F)(F)(N(=O)=O)OC1(C#N)C#N,95
N#CC1(C#N)O[P-](F)(F)(=O)OC1(C#N)C#N,96
N#CC1(C#N)O[P-](=O)(=O)OC1(C#N)C#N,97
N#CC1(C#N)O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1(C#N)C#N,98
N#CC1(C#N)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C#N)C#N,99
N#CC1(C#N)O[P-](F)(F)(O(CF))(O(CF))OC1(C#N)C#N,100
N#CC1(C#N)O[P-](F)(F)(F)(O(CF))OC1(C#N)C#N,101
N#CC1(C#N)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C#N)C#N,102
N#CC1(C#N)O[P-](F)(O(C))(O(C))(O(C))OC1(C#N)C#N,103
N#CC1(C#N)O[P-](F)(F)(O(C))(O(C))OC1(C#N)C#N,104
N#CC1(C#N)O[P-](F)(F)(F)(O(C))OC1(C#N)C#N,105
N#CC1(C#N)O[P-](F)(F)(F)(F)OC1(C#N)C#N,106
N#CC1(C#N)O[P-]2(CF)(CF)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,107
N#CC1(C#N)O[P-]2(C#N)(C#N)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,108
N#CC1(C#N)O[P-]2(F)(F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,109
N#CC1(C#N)O[P-]2(F)(CF)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,110
N#CC1(C#N)O[P-]2(F)(C#N)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,111
N#CC1(C#N)O[P-]2(F)(N(=O)=O)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,112
N#CC1(C#N)O[P-]2(F)(O(CF))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,113
N#CC1(C#N)O[P-]2(=O)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,114
N#CC1(C#N)O[P-]2(O(CF))(O(CF))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,115
O=C1O[P-](CF)(CF)(CF)(CF)OC1=O,116
O=C1O[P-](F)(CF)(CF)(CF)OC1=O,117
O=C1O[P-](F)(F)(CF)(CF)OC1=O,118
O=C1O[P-](F)(F)(F)(CF)OC1=O,119
O=C1O[P-](C)(C)(C)(C)OC1=O,120
O=C1O[P-](F)(C)(C)(C)OC1=O,121
O=C1O[P-](F)(F)(C)(C)OC1=O,122
O=C1O[P-](F)(F)(F)(C)OC1=O,123
O=C1O[P-](C#N)(C#N)(C#N)(C#N)OC1=O,124
O=C1O[P-](F)(C#N)(C#N)(C#N)OC1=O,125
O=C1O[P-](F)(F)(C#N)(C#N)OC1=O,126
O=C1O[P-](F)(F)(F)(C#N)OC1=O,127
O=C1O[P-](N)(N)(N)(N)OC1=O,128
O=C1O[P-](F)(N)(N)(N)OC1=O,129
O=C1O[P-](F)(F)(N)(N)OC1=O,130
O=C1O[P-](F)(F)(F)(N)OC1=O,131
O=C1O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1=O,132
O=C1O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1=O,133
O=C1O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1=O,134
O=C1O[P-](F)(F)(F)(N(=O)=O)OC1=O,135
O=C1O[P-](F)(F)(=O)OC1=O,136
O=C1O[P-](=O)(=O)OC1=O,137
O=C1O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1=O,138
O=C1O[P-](F)(O(CF))(O(CF))(O(CF))OC1=O,139
O=C1O[P-](F)(F)(O(CF))(O(CF))OC1=O,140
O=C1O[P-](F)(F)(F)(O(CF))OC1=O,141
O=C1O[P-](O(C))(O(C))(O(C))(O(C))OC1=O,142
O=C1O[P-](F)(O(C))(O(C))(O(C))OC1=O,143
O=C1O[P-](F)(F)(O(C))(O(C))OC1=O,144
O=C1O[P-](F)(F)(F)(O(C))OC1=O,145
O=C1O[P-](F)(F)(F)(F)OC1=O,146
O=C1O[P-]2(CF)(CF)(OC1=O)OC(=O)C(=O)O2,147
O=C1O[P-]2(C#N)(C#N)(OC1=O)OC(=O)C(=O)O2,148
O=C1O[P-]2(F)(F)(OC1=O)OC(=O)C(=O)O2,149
O=C1O[P-]2(F)(CF)(OC1=O)OC(=O)C(=O)O2,150
O=C1O[P-]2(F)(C#N)(OC1=O)OC(=O)C(=O)O2,151
O=C1O[P-]2(F)(N(=O)=O)(OC1=O)OC(=O)C(=O)O2,152
O=C1O[P-]2(F)(O(CF))(OC1=O)OC(=O)C(=O)O2,153
O=C1O[P-]2(=O)(OC1=O)OC(=O)C(=O)O2,154
O=C1O[P-]2(O(CF))(O(CF))(OC1=O)OC(=O)C(=O)O2,155
O=[P-](=O)(F)F,156
O=[P-](=O)(CF)F,157
O=[P-](=O)(CF)CF,158
O=[P-](=O)(C)F,159
O=[P-](=O)(C)C,160
O=[P-](=O)(C#N)F,161
O=[P-](=O)(N)F,162
O=[P-](=O)(N)N,163
O=[P-](=O)(N(=O)=O)F,164
O=[P-](=O)(N(=O)=O)N(=O)=O,165
O=[P-](=O)(O(CF))F,166
O=[P-](=O)(O(CF))O(CF),167
O=[P-](=O)(O(C))F,168
O=[P-](=O)(O(C))O(C),169
O=[P-](F)(F)(F)F,170
O=[P-](CF)(F)(F)F,171
O=[P-](CF)(CF)(F)F,172
O=[P-](CF)(CF)(CF)F,173
O=[P-](CF)(CF)(CF)CF,174
O=[P-](C)(F)(F)F,175
O=[P-](C)(C)(F)F,176
O=[P-](C)(C)(C)F,177
O=[P-](C)(C)(C)C,178
O=[P-](C#N)(F)(F)F,179
O=[P-](C#N)(C#N)(F)F,180
O=[P-](C#N)(C#N)(C#N)F,181
O=[P-](C#N)(C#N)(C#N)C#N,182
O=[P-](N)(F)(F)F,183
O=[P-](N)(N)(F)F,184
O=[P-](N)(N)(N)F,185
O=[P-](N)(N)(N)N,186
O=[P-](N(=O)=O)(F)(F)F,187
O=[P-](N(=O)=O)(N(=O)=O)(F)F,188
O=[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)F,189
O=[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)N(=O)=O,190
O=[P-](O(CF))(F)(F)F,191
O=[P-](O(CF))(O(CF))(F)F,192
O=[P-](O(CF))(O(CF))(O(CF))F,193
O=[P-](O(CF))(O(CF))(O(CF))O(CF),194
O=[P-](O(C))(F)(F)F,195
O=[P-](O(C))(O(C))(F)F,196
O=[P-](O(C))(O(C))(O(C))O(C),197
F[P-](F)(F)(F)(F)F,198
FC[P-](CF)(CF)(CF)(CF)CF,199
FC[P-](F)(CF)(CF)(CF)CF,200
FC[P-](F)(F)(CF)(CF)CF,201
FC[P-](F)(F)(F)(CF)CF,202
FC[P-](F)(F)(F)(F)CF,203
F[P-](C)(C)(C)(C)C,204
F[P-](F)(C)(C)(C)C,205
F[P-](F)(F)(C)(C)C,206
F[P-](F)(F)(F)(C)C,207
F[P-](F)(F)(F)(F)C,208
F[P-](C#N)(C#N)(C#N)(C#N)C#N,209
F[P-](F)(F)(C#N)(C#N)C#N,210
F[P-](F)(F)(F)(C#N)C#N,211
F[P-](F)(F)(F)(F)C#N,212
F[P-](N)(N)(N)(N)N,213
F[P-](F)(N)(N)(N)N,214
F[P-](F)(F)(N)(N)N,215
F[P-](F)(F)(F)(N)N,216
F[P-](F)(F)(F)(F)N,217
F[P-](O(C))(O(C))(O(C))(O(C))O(C),218
F[P-](F)(O(C))(O(C))(O(C))O(C),219
F[P-](F)(F)(O(C))(O(C))O(C),220
F[P-](F)(F)(F)(O(C))O(C),221
F[P-](F)(F)(F)(F)O(C),222
c1ccc2c(c1)O[P-]13(O2)(Oc2ccccc2O1)Oc1ccccc1O3,223
FC(F)C1(C(F)F)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,224
FC(F)C1(C(F)F)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,225
FC(F)C1(C(F)F)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,226
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C(F)F)OC1(C(F)F)C(F)F,227
FC(F)C1(C(F)F)O[P-](C)(C)(C)(C)OC1(C(F)F)C(F)F,228
FC(F)C1(C(F)F)O[P-](F)(C)(C)(C)OC1(C(F)F)C(F)F,229
FC(F)C1(C(F)F)O[P-](F)(F)(C)(C)OC1(C(F)F)C(F)F,230
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C)OC1(C(F)F)C(F)F,231
FC(F)C1(C(F)F)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C(F)F)C(F)F,232
FC(F)C1(C(F)F)O[P-](F)(C#N)(C#N)(C#N)OC1(C(F)F)C(F)F,233
FC(F)C1(C(F)F)O[P-](F)(F)(C#N)(C#N)OC1(C(F)F)C(F)F,234
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C#N)OC1(C(F)F)C(F)F,235
FC(F)C1(C(F)F)O[P-](N)(N)(N)(N)OC1(C(F)F)C(F)F,236
FC(F)C1(C(F)F)O[P-](F)(N)(N)(N)OC1(C(F)F)C(F)F,237
FC(F)C1(C(F)F)O[P-](F)(F)(N)(N)OC1(C(F)F)C(F)F,238
FC(F)C1(C(F)F)O[P-](F)(F)(F)(N)OC1(C(F)F)C(F)F,239
FC(F)C1(C(F)F)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C(F)F)C(F)F,240
FC(F)C1(C(F)F)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C(F)F)C(F)F,241
FC(F)C1(C(F)F)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C(F)F)C(F)F,242
FC(F)C1(C(F)F)O[P-](F)(F)(F)(N(=O)=O)OC1(C(F)F)C(F)F,243
FC(F)C1(C(F)F)O[P-](F)(F)(=O)OC1(C(F)F)C(F)F,244
FC(F)C1(C(F)F)O[P-](=O)(=O)OC1(C(F)F)C(F)F,245
FC(F)C1(C(F)F)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C(F)F)C(F)F,246
FC(F)C1(C(F)F)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C(F)F)C(F)F,247
FC(F)C1(C(F)F)O[P-](F)(F)(F)(O(C(F)F))OC1(C(F)F)C(F)F,248
FC(F)C1(C(F)F)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C(F)F)C(F)F,249
FC(F)C1(C(F)F)O[P-](F)(F)(O(C))(O(C))OC1(C(F)F)C(F)F,250
FC(F)C1(C(F)F)O[P-](F)(F)(F)(O(C))OC1(C(F)F)C(F)F,251
FC(F)C1(C(F)F)O[P-](F)(F)(F)(F)OC1(C(F)F)C(F)F,252
FC(F)C1(C(F)F)O[P-]2(C(F)F)(C(F)F)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,253
FC(F)C1(C(F)F)O[P-]2(C#N)(C#N)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,254
FC(F)C1(C(F)F)O[P-]2(F)(F)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,255
FC(F)C1(C(F)F)O[P-]2(F)(C(F)F)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,256
FC(F)C1(C(F)F)O[P-]2(F)(C#N)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,257
FC(F)C1(C(F)F)O[P-]2(F)(N(=O)=O)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,258
FC(F)C1(C(F)F)O[P-]2(F)(O(C(F)F))(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,259
FC(F)C1(C(F)F)O[P-]2(=O)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,260
FC(F)C1(C(F)F)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,261
CC1(C)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C,262
CC1(C)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C,263
CC1(C)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C)C,264
CC1(C)O[P-](F)(F)(F)(C(F)F)OC1(C)C,265
