smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx
N#CP(=O)([O-])OCc1ccccc1,-137.07262,-15.59331,16.165843,154.005333,73
O=[P-](=O)(O(C(F)F))O(C(F)F),-130.88375,-40.27183,7.022805,64.554333,74
O=P([O-])(F)OOP(=O)(F)F,-126.9056,-32.09157,6.969192,62.532667,75
N#CCCOP(=O)([O-])n1ccnc1,-135.70466,-20.14945,6.669333,139.591333,76
O=[P-](=O)(C(F)(F)F)C(F)(F)F,-130.44181,-66.01119,5.595646,58.8556,77
FC[P-](F)(F)(CF)(CF)CF,-140.7496,-53.15126,3.797316,75.02,78
CC1(C)O[P-](F)(F)(=O)OC1(C)C,-159.28165,-26.64632,13.252097,127.949,79
N#CCCOP(=O)([O-])OCCC#N,-143.58527,-5.65999,10.96423,128.758667,80
O=[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)F,-118.74491,-62.67156,1.821413,94.746667,81
C(F)O[P-](F)(F)(F)(F)O(CF),-123.65072,-42.20548,3.711903,61.687,82
F[P-](O(C))(O(C))(O(C))(O(C))O(C),-158.11331,-52.82667,4.05523,129.313,83
CCOP(=O)([O-])OCC(F)(F)F,-144.79268,-33.9941,5.080242,95.577333,84
FC(F)[P-](F)(F)(F)(F)C(F)F,-125.13455,-50.62981,3.821683,55.191667,85
O=[P-](O(CF))(O(CF))(O(CF))F,-144.22717,-39.19049,1.913653,85.962,86
FC[P-](F)(CF)(CF)(CF)CF,-123.48542,-46.28066,3.256767,114.658,87
CC1(C)O[P-](F)(F)(C)(C)OC1(C)C,-133.15418,-41.16115,5.516522,167.508,88
COCCOCCOOP(=O)([O-])F,-144.32301,-10.76885,22.049492,124.663667,89
O=[P-](O(C(F)F))(O(C(F)F))(F)F,-130.83996,-32.79001,5.022169,63.563667,90
O=[P-](C(F)F)(C(F)F)(C(F)F)F,-134.78837,-48.13822,1.149358,76.336333,91
CC1(C)O[P-](F)(F)(F)(C)OC1(C)C,-147.25449,-35.34533,8.495447,144.566,92
O=[P-](C(F)(F)F)(C(F)(F)F)(F)F,-128.03923,-74.58221,3.09719,56.2067,93
N#CC1(C#N)O[P-](=O)(=O)OC1(C#N)C#N,-118.18092,-13.81537,5.956836,129.612,94
CC1(C)O[P-](F)(F)(F)(F)OC1(C)C,-138.30859,-30.39293,10.844493,124.295,95
O=P([O-])(OCC(F)F)OCC(F)F,-130.86968,-40.26818,7.022481,64.554333,96
FC[P-](CF)(CF)(CF)(CF)CF,-114.06357,-44.73454,3.872703,136.315667,97
CC1(C)O[P-](F)(F)(F)(C#N)OC1(C)C,-127.40016,-25.71147,12.971972,141.908,98
O=P([O-])(OCC(F)(F)F)C(F)(F)F,-133.92699,-38.81169,7.487518,75.358,99
O=[P-](=O)(O(C(F)(F)F))O(C(F)(F)F),-126.04113,-58.81697,6.076559,63.2216,100
C(F)O[P-](F)(F)(F)(O(CF))O(CF),-130.60589,-38.70201,4.754579,81.401667,101
CC1(C)O[P-](F)(F)(F)(O(C))OC1(C)C,-145.29898,-34.40773,7.176172,145.529,102
CC1(C)O[P-](F)(F)(F)(CF)OC1(C)C,-147.66605,-29.1783,11.988072,142.582,103
CC1(C)O[P-](F)(F)(C#N)(C#N)OC1(C)C,-114.40489,-21.55017,14.714931,160.506,104
CCCCCCCCCCOP(=O)([O-])F,-147.64705,-16.1049,26.127731,188.203667,105
FC(F)[P-](F)(F)(F)(C(F)F)C(F)F,-126.28429,-47.54702,4.082957,71.691667,106
O=[P-](O(CF))(O(CF))(O(CF))O(CF),-132.8093,-39.83261,2.987476,106.846333,107
CC1(C)O[P-](F)(C#N)(C#N)(C#N)OC1(C)C,-109.65176,-18.52457,15.214084,180.291,108
FC(F)(F)[P-](F)(F)(F)(F)C(F)(F)F,-113.98335,-74.94273,2.551966,53.9541,109
N#CC1(C#N)O[P-](F)(F)(=O)OC1(C#N)C#N,-122.93203,-15.24613,4.249898,128.23,110
COCCOCCOCCOP(=O)([O-])F,-145.74484,-7.08064,28.203561,151.234,111
CCC(C)(C)c1ccc(OP(=O)([O-])F)cc1,-146.23848,-20.24317,20.414478,202.360333,112
CC1(C)O[P-](F)(F)(O(C))(O(C))OC1(C)C,-149.11589,-36.90152,5.547826,167.879,113
