smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2,functionalgroupscorer,F_count,O_ether_count,NO2_count,CN_count,oxo_or_anion_count,H_count,scscore
FCC1(CF)O[P-](F)(C)(C)(C)OC1(CF)CF,-164.4714,-34.21172,9.066291,181.18,147,2,-0.5123132393497073,-1.7168409596797962,-11.0,5,2,0,0,0,17,2.665931072133949
FCC1(CF)O[P-](F)(F)(C)(C)OC1(CF)CF,-139.6593,-29.28293,6.596377,157.397,148,2,-0.1033385606278995,-0.6845964423262325,-7.0,6,2,0,0,0,14,2.6386593505542897
CC1(C)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C)C,-130.01432,-33.75688,4.8131,158.544,149,2,-0.0252503582658465,-0.1822387206241766,-7.0,6,2,0,0,0,14,2.647018579986801
CC1(C)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C)C,-131.51147,-26.16942,9.178319,142.132,151,2,-0.0019497895952535,-0.3558324954346391,-4.5,6,3,0,0,0,12,2.862190009601525
FCC1(CF)O[P-](F)(F)(F)(C)OC1(CF)CF,-136.48952,-23.241,8.16233,135.161,152,2,-0.0898409241581161,-0.6105321713945591,-3.0,7,2,0,0,0,11,2.360560542324308
C(F)O[P-](F)(O(CF))(O(CF))(O(CF))O(CF),-139.55276,-13.72991,12.209906,115.843667,156,2,-0.0720314382691333,-0.8825708833630417,-1.5,6,5,0,0,0,10,2.949809368222718
CC1(C)O[P-]2(F)(F)(OC1(C)C)OC(C)(C)C(C)(C)O2,-150.52057,-36.10054,8.204335,229.785,163,2,0.2199319968654334,-1.208339753344314,-20.0,2,4,0,0,0,24,3.0341567689617857
FCC1(CF)O[P-](F)(F)(F)(C#N)OC1(CF)CF,-128.41055,-12.60561,13.713679,133.049667,164,2,0.3672940261986684,-0.4717043243740405,1.0,7,2,0,1,0,8,2.6570233930687186
N#CC1(C#N)O[P-](F)(O(C))(O(C))(O(C))OC1(C#N)C#N,-124.84786,-32.46053,7.098974,189.947,165,2,0.4429733229372692,-0.0700703594435785,-1.5,1,5,0,4,0,9,3.260924929626908
CC1(C)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C)C,-125.63316,-13.23399,14.277394,194.716667,166,2,1.042085220362141,-0.5045536170349834,-8.5,1,2,3,0,0,12,3.1476058270803318
